,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
85,Humaitá,-7.5061,-63.0208,82.76,73,94,3.83,BR,1619798099
86,Nikolskoye,59.7035,30.7861,48.2,37,0,17.9,RU,1619798099
87,Bowen,-20.0167,148.2333,62.6,94,15,5.75,AU,1619797930
88,Avarua,-21.2078,-159.775,77.0,100,75,1.14,CK,1619798100
89,St. George's,12.0564,-61.7485,82.4,74,75,18.41,GD,1619798100
90,Leh,34.1667,77.5833,43.25,36,58,2.66,IN,1619798101
91,Faanui,-16.4833,-151.75,78.71,80,96,6.78,PF,1619798102
92,Qaanaaq,77.484,-69.3632,32.34,64,53,7.07,GL,1619798104
93,Omboué,-1.5746,9.2618,83.19,74,100,6.85,GA,1619798104
94,Artyom,40.4723,50.333,59.0,82,0,6.91,AZ,1619798105
95,Banda Aceh,5.5577,95.3222,80.78,78,100,3.15,ID,1619798104
96,Baruun-Urt,46.6806,113.2792,34.38,53,29,12.62,MN,1619798106
97,Bariloche,-41.1456,-71.3082,59.0,58,40,6.91,AR,1619797957
98,Sobolevo,54.4299,31.8996,50.79,90,100,11.3,RU,1619798106
99,Guerrero Negro,27.9769,-114.0611,73.87,44,0,8.32,MX,1619798109
100,Purpe,64.4803,76.6897,32.0,93,100,18.48,RU,1619798109
101,Nabire,-3.3667,135.4833,75.85,89,89,3.51,ID,1619798107
102,Half Moon Bay,37.4636,-122.4286,59.0,93,90,8.05,US,1619798110
103,Caçu,-18.5567,-51.1308,87.84,26,77,5.64,BR,1619798110
104,Tiznit Province,29.5833,-9.5,58.89,64,65,16.46,MA,1619798111
105,Tuatapere,-46.1333,167.6833,42.01,93,49,4.0,NZ,1619798111
106,Baykit,61.67,96.37,35.15,98,100,3.67,RU,1619798036
107,Provideniya,64.3833,-173.3,26.22,74,98,2.62,RU,1619798112
108,Alassio,44.0039,8.1671,62.6,94,40,11.5,IT,1619798112
109,Meulaboh,4.1363,96.1285,78.94,85,89,3.87,ID,1619798113
110,Takoradze,4.8845,-1.7554,86.04,62,76,10.67,GH,1619798114
111,Boguchany,58.3814,97.4531,30.36,97,48,3.31,RU,1619798114
112,Itarema,-2.9248,-39.9167,86.95,59,88,9.51,BR,1619798115
113,Sechura,-5.5569,-80.8222,76.17,63,58,8.88,PE,1619798116
114,Cape Town,-33.9258,18.4232,64.4,52,0,19.57,ZA,1619798116
115,Stornoway,58.2093,-6.3865,48.0,71,20,14.97,GB,1619798117
116,Sulangan,11.1373,123.7228,82.94,75,52,9.8,PH,1619798117
117,La Ronge,55.1001,-105.2842,35.6,75,100,9.22,CA,1619798118
118,Saldanha,-33.0117,17.9442,66.2,45,0,17.27,ZA,1619798118
119,Moree,-29.4667,149.85,59.0,72,23,8.05,AU,1619798119
120,Maniitsoq,65.4167,-52.9,36.1,67,11,5.41,GL,1619797909
121,Zeya,53.75,127.2667,34.48,75,100,4.05,RU,1619798120
122,Port Elizabeth,-33.918,25.5701,64.4,59,0,19.57,ZA,1619798120
123,Sinop Province,41.7711,34.8709,57.9,72,94,1.32,TR,1619798121
124,Kruisfontein,-34.0033,24.7314,62.01,61,0,3.0,ZA,1619797960
125,Naze,28.3667,129.4833,65.43,75,100,14.76,JP,1619798121
126,Kalevala,65.2,31.1667,32.09,65,100,7.61,RU,1619798122
127,Ponta Delgada,37.7333,-25.6667,60.8,72,75,14.97,PT,1619798123
128,Arraial do Cabo,-22.9661,-42.0278,77.0,69,40,9.22,BR,1619798124
129,Chapais,49.7834,-74.8492,57.2,44,90,6.91,CA,1619798124
130,Varzob,38.7737,68.8178,71.6,56,75,6.71,TJ,1619798125
131,Mar del Plata,-38.0023,-57.5575,68.0,68,0,18.41,AR,1619798125
132,Ahipara,-35.1667,173.1667,59.16,84,100,8.23,NZ,1619798126
133,Hilo,19.7297,-155.09,71.6,83,90,5.75,US,1619797916
134,Komsomolets,53.7453,62.0708,47.1,44,57,6.53,KZ,1619798126
135,Rio Claro,-22.4114,-47.5614,77.0,53,0,3.44,BR,1619798127
136,Ancud,-41.8697,-73.8203,55.99,100,90,12.66,CL,1619797942
137,Kindu,-2.95,25.95,72.36,97,100,1.99,CD,1619798047
138,Valparaíso,-33.0393,-71.6273,62.6,72,75,4.61,CL,1619798128
139,Bethel,41.3712,-73.414,61.0,48,90,16.11,US,1619798128
140,George Town,5.4112,100.3354,77.0,94,40,6.91,MY,1619797901
141,Khandyga,62.6667,135.6,29.17,99,100,1.23,RU,1619798129
142,Kabelvåg,68.2114,14.4817,37.4,52,75,6.91,NO,1619798129
143,Clyde River,70.4692,-68.5914,21.2,100,90,3.44,CA,1619798088
144,Aguada de Pasajeros,22.385,-80.8508,87.8,55,20,4.61,CU,1619798130
145,Dulce Nombre de Culmí,15.1,-85.5333,84.43,49,28,4.7,HN,1619798131
146,Hong Kong,22.2855,114.1577,78.01,81,83,3.83,HK,1619798131
147,Khovd,48.0056,91.6419,63.23,26,100,10.74,MN,1619798131
148,Valley City,46.9233,-98.0032,44.6,36,90,13.8,US,1619798132
149,Dunn,44.95,-91.8835,48.99,39,1,3.44,US,1619798133
150,Dingle,10.9995,122.6711,76.66,69,33,5.1,PH,1619798133
151,Cam Ranh,11.9214,109.1591,80.6,83,20,4.61,VN,1619798134
152,Zhob,31.3411,69.4481,73.4,33,66,2.51,PK,1619798134
153,Vao,-22.6667,167.4833,74.3,61,90,20.15,NC,1619798135
154,Daro,8.5185,-9.569,90.55,42,96,0.67,GN,1619798136
155,Pevek,69.7008,170.3133,10.51,97,100,9.33,RU,1619798136
156,Poronaysk,49.2167,143.1167,34.93,85,100,20.31,RU,1619798137
157,Nanortalik,60.1432,-45.2371,41.83,65,6,5.99,GL,1619798137
158,Brigantine,39.4101,-74.3646,68.0,42,75,20.71,US,1619798137
159,New Norfolk,-42.7826,147.0587,51.01,84,3,3.06,AU,1619798138
160,Chui,-33.6971,-53.4616,70.34,47,0,7.87,UY,1619798118
161,Tura,25.5198,90.2201,78.35,36,47,3.06,IN,1619798138
162,Zhigalovo,54.8097,105.1578,34.32,85,100,3.8,RU,1619798139
163,Lærdal,61.098,7.4816,46.4,29,20,8.05,NO,1619798139
164,Taoudenni,22.6783,-3.9836,93.02,24,97,12.86,ML,1619798140
165,Jumla,29.2747,82.1838,52.79,87,100,2.1,NP,1619798141
166,Nantucket,41.2835,-70.0995,62.6,67,1,19.57,US,1619798030
167,Aklavik,68.2191,-135.0107,19.4,86,100,5.75,CA,1619798141
168,Bolshaya Martynovka,47.271,41.6679,59.97,81,58,11.45,RU,1619798142
169,Dolisie,-4.1997,12.6739,78.42,89,97,3.38,CG,1619798142
170,Salta,-24.7859,-65.4117,66.0,59,20,4.61,AR,1619798143
171,Zemio,5.0314,25.1361,77.92,73,100,2.37,CF,1619798143
172,Alakurtti,66.9672,30.3491,30.99,59,100,5.99,RU,1619798144
173,Norman Wells,65.282,-126.8329,32.0,59,40,5.75,CA,1619798145
174,Scarborough,54.2797,-0.4044,48.99,74,50,4.0,GB,1619798070
175,Moctezuma,29.8,-109.6667,71.01,31,0,12.12,MX,1619798145
176,Foumban,5.7291,10.9001,79.63,50,92,5.14,CM,1619798146
177,Anamur,36.0751,32.8369,73.4,73,0,10.36,TR,1619798147
178,Kavieng,-2.5744,150.7967,81.55,76,80,4.99,PG,1619798147
179,Ürümqi,43.801,87.6005,77.0,15,0,8.95,CN,1619797931
180,Hamilton,39.1834,-84.5333,68.0,48,1,6.91,US,1619797904
181,Atyrau,47.1167,51.8833,64.4,27,0,8.95,KZ,1619798148
182,Tramore,52.1624,-7.1524,46.0,81,75,8.05,IE,1619798148
183,Omutninsk,58.67,52.1932,43.7,61,100,7.83,RU,1619798149
184,Cockburn Town,21.4612,-71.1419,78.8,69,53,12.73,TC,1619798079
185,Sungai Penuh,-2.0833,101.3833,66.2,92,100,3.69,ID,1619798150
186,Srednekolymsk,67.45,153.6833,4.86,97,28,6.53,RU,1619798150
187,Batemans Bay,-35.7167,150.1833,57.0,95,17,3.0,AU,1619798151
188,Ilhabela,-23.7781,-45.3581,74.34,60,81,6.64,BR,1619798151
189,Lebu,-37.6167,-73.65,58.55,80,100,17.02,CL,1619798152
190,San Cristobal,7.7669,-72.225,84.2,54,40,3.44,VE,1619798152
191,Petrolina,-9.3986,-40.5008,84.2,58,40,12.66,BR,1619798153
192,Conde,-7.2597,-34.9075,77.0,100,75,13.8,BR,1619798154
193,Hualmay,-11.0964,-77.6139,71.2,73,3,9.31,PE,1619797890
194,Krasnyy Chikoy,50.3643,108.7512,31.17,67,76,2.84,RU,1619798154
195,Severo-Kuril'sk,50.6789,156.125,35.13,92,100,18.03,RU,1619798155
196,Pangnirtung,66.1451,-65.7125,32.0,93,90,8.05,CA,1619798155
197,Skjervøy,70.0311,20.9714,28.4,74,75,10.36,NO,1619797983
198,Yar-Sale,66.8333,70.8333,28.08,96,89,10.74,RU,1619798156
199,Babati,-4.2167,35.75,64.78,92,100,4.52,TZ,1619798156
200,Hasaki,35.7333,140.8333,53.6,87,20,4.61,JP,1619798157
201,Kruszwica,52.6756,18.3313,48.0,76,100,5.99,PL,1619798158
202,Chokurdakh,70.6333,147.9167,-1.37,93,35,4.83,RU,1619798159
203,Tasiilaq,65.6145,-37.6368,33.8,64,20,11.5,GL,1619798159
204,Huambo,-12.7761,15.7392,68.4,72,100,4.03,AO,1619798160
205,Kloulklubed,7.0419,134.2556,77.0,94,75,4.61,PW,1619798161
206,Suntar,62.1444,117.6319,33.31,96,100,3.91,RU,1619798162
207,Ýpsonas,34.6884,32.9574,77.0,33,0,19.57,CY,1619798163
208,Carepa,7.7585,-76.6525,85.32,66,100,3.6,CO,1619798164
209,Iskandar,41.5539,69.7008,68.0,60,0,9.22,UZ,1619798164
210,Saint-Paul,-21.0096,55.2707,77.0,73,0,14.97,RE,1619798165
211,Longyearbyen,78.2186,15.6401,21.2,68,75,8.05,SJ,1619798166
212,Cherskiy,68.75,161.3,-2.36,100,98,2.17,RU,1619798166
213,Virginia Beach,36.8529,-75.978,75.2,35,20,19.57,US,1619797990
214,Bonavista,48.6499,-53.1147,51.8,62,63,5.75,CA,1619798167
215,Muncie,40.1934,-85.3864,64.4,48,90,14.97,US,1619798105
216,Kobelyaky,49.1489,34.1965,61.09,70,100,8.84,UA,1619798168
217,Ladário,-19.0047,-57.6017,80.6,50,0,4.61,BR,1619798168
218,Wau,7.7029,27.9953,87.12,42,97,4.54,SS,1619798168
219,Maragogi,-9.0122,-35.2225,82.72,69,100,11.68,BR,1619798169
220,San Patricio,28.017,-97.5169,73.99,100,90,10.36,US,1619798170
221,Ulaangom,49.9811,92.0667,55.62,35,85,4.18,MN,1619798170
222,Campbell River,50.0163,-125.2446,51.01,100,90,1.57,CA,1619798171
223,Ixtapa,20.7,-105.2,78.8,78,90,6.91,MX,1619798171
224,Jiaozuo,35.2397,113.2331,57.63,39,0,5.32,CN,1619798171
225,Linxia Chengguanzhen,35.6003,103.2064,58.46,27,0,2.93,CN,1619798172
226,Athabasca,54.7169,-113.2854,53.6,62,79,8.05,CA,1619798173
227,Natal,-5.795,-35.2094,82.4,83,75,13.8,BR,1619797910
228,Saint Anthony,45.0205,-93.218,50.0,43,1,8.05,US,1619798173
229,Prymors'k,46.7348,36.3443,55.62,84,46,4.43,UA,1619798174
230,Khatanga,71.9667,102.5,31.19,95,100,8.75,RU,1619798174
231,Ostrovnoy,68.0531,39.5131,27.88,81,100,15.39,RU,1619798175
232,Kleive,62.7954,7.6359,42.8,56,75,4.61,NO,1619798175
233,Usinsk,65.9939,57.5281,37.45,60,97,12.44,RU,1619798176
234,Vestmannaeyjar,63.4427,-20.2734,44.6,61,75,11.5,IS,1619798177
235,Kidal,18.4411,1.4078,107.22,5,0,11.36,ML,1619798178
236,Mehamn,71.0357,27.8492,30.2,86,75,35.68,NO,1619798178
237,Buraidah,26.326,43.975,93.2,18,0,10.36,SA,1619798179
238,Waddān,29.1614,16.139,103.84,5,30,15.79,LY,1619798179
239,Lagoa,39.05,-27.9833,57.88,60,9,4.54,PT,1619798180
240,Madridejos,39.4682,-3.532,64.0,42,40,9.22,ES,1619798181
241,Vadsø,70.0744,29.7487,28.4,59,20,20.71,NO,1619798181
242,Port Lincoln,-34.7333,135.8667,66.6,39,100,8.93,AU,1619798182
243,Aksu,41.1231,80.2644,74.95,9,0,6.73,CN,1619798183
244,São José da Coroa Grande,-8.8978,-35.1478,83.01,67,100,11.92,BR,1619798183
245,Rawson,-43.3002,-65.1023,71.53,24,75,11.14,AR,1619798184
246,Saryg-Sep,51.5,95.6,49.17,95,100,1.74,RU,1619798184
247,Camopi,3.1655,-52.3158,82.83,74,96,3.74,GF,1619798185
248,Måløy,61.9353,5.1136,50.0,40,20,12.66,NO,1619798185
249,Skegness,53.1436,0.3363,46.99,87,75,9.22,GB,1619798186
250,Klaksvík,62.2266,-6.589,39.2,60,75,9.22,FO,1619798186
251,Denpasar,-8.65,115.2167,80.6,94,40,2.3,ID,1619798014
252,Cabo San Lucas,22.8909,-109.9124,81.0,35,1,3.91,MX,1619798177
253,Katsuura,35.1333,140.3,60.8,88,20,9.22,JP,1619798188
254,Shitanjing,39.2342,106.3439,56.48,27,27,6.44,CN,1619798189
255,Hobyo,5.3505,48.5268,85.08,64,89,12.03,SO,1619798189
256,Chepareria,1.3077,35.2039,69.82,51,97,1.88,KE,1619798190
257,Palmer,42.1584,-72.3287,57.99,62,75,19.57,US,1619798191
258,Chodavaram,17.8333,82.95,84.2,84,20,5.75,IN,1619798191
259,Bambous Virieux,-20.3428,57.7575,78.8,78,75,13.8,MU,1619798192
260,Kualakapuas,-3.0091,114.3876,78.8,94,90,2.3,ID,1619798193
261,Berlevåg,70.8578,29.0864,26.6,86,90,23.02,NO,1619798193
262,Sangar,63.9242,127.4739,21.99,96,85,3.27,RU,1619798196
263,San Ignacio,17.1561,-89.0714,84.2,74,40,6.91,BZ,1619798196
264,Mosetse,-20.75,26.65,77.97,36,2,5.32,BW,1619798197
265,Taltal,-25.4,-70.4833,67.77,67,50,8.28,CL,1619798199
266,Araouane,18.9048,-3.5265,96.1,21,81,9.82,ML,1619798199
267,Progreso,21.2833,-89.6667,90.0,62,75,18.41,MX,1619798200
268,Sioux Lookout,50.1001,-91.917,39.2,38,1,4.61,CA,1619798200
269,Bilibino,68.0546,166.4372,-3.44,96,25,3.94,RU,1619797917
270,Bulgan,48.8125,103.5347,42.51,60,95,3.65,MN,1619798201
271,Dudinka,69.4058,86.1778,18.16,96,32,5.82,RU,1619798202
272,Gizo Government Station,-8.103,156.8419,81.28,74,44,4.63,SB,1619798202
273,Emerald,-23.5333,148.1667,62.6,94,9,5.75,AU,1619798203
274,Olafsvik,64.8945,-23.7142,38.28,65,53,22.39,IS,1619798205
275,Cassilândia,-19.1133,-51.7342,85.75,25,100,6.73,BR,1619798205
276,Kyra,49.5776,111.9753,30.87,61,16,6.42,RU,1619798206
277,Alofi,-19.0595,-169.9187,71.6,100,100,1.14,NU,1619798120
278,Kieta,-6.2167,155.6333,78.22,81,68,1.54,PG,1619798207
279,Esperance,-33.8667,121.9,48.2,93,65,4.61,AU,1619798207
280,Kondinskoye,59.6481,67.41,36.16,74,51,15.01,RU,1619798208
281,Santa Fe,-31.6333,-60.7,73.99,52,0,11.01,AR,1619798159
282,Bairiki Village,1.3292,172.9752,82.4,83,40,5.75,KI,1619798209
283,Yulara,-25.2406,130.9889,60.8,29,76,4.61,AU,1619798209
284,Upernavik,72.7868,-56.1549,34.03,76,92,6.06,GL,1619798210
285,Manta,-0.95,-80.7333,78.8,89,75,4.61,EC,1619798211
286,Boa Vista,2.8197,-60.6733,84.2,70,75,13.8,BR,1619798044
287,Los Llanos de Aridane,28.6585,-17.9182,69.8,60,40,21.85,ES,1619798211
288,Kaniama,-7.5667,24.1833,72.7,87,100,4.12,CD,1619798212
289,Sawākin,19.1059,37.3321,85.55,62,100,3.33,SD,1619798212
290,Cocachacra,-17.0883,-71.7575,71.2,65,33,7.83,PE,1619798213
291,Shingū,33.7333,135.9833,53.47,67,1,6.31,JP,1619798213
292,Saint Lawrence,36.0553,14.204,71.01,73,0,10.36,MT,1619798214
293,Litovko,49.2361,135.1742,35.85,68,7,6.53,RU,1619798214
294,Minturno,41.2576,13.7237,78.8,24,0,3.71,IT,1619798214
295,Surat Thani,9.1667,99.25,82.0,94,20,4.83,TH,1619798215
296,Iqaluit,63.7506,-68.5145,35.6,80,75,5.75,CA,1619798215
297,Roald,62.5833,6.1333,44.6,61,75,10.36,NO,1619798216
298,Brezovo,42.35,25.0833,80.6,44,40,11.5,BG,1619798216
299,Homer,59.6425,-151.5483,39.0,65,40,5.75,US,1619798217
300,Pantayivka,48.674,32.8841,62.76,63,100,10.47,UA,1619798217
301,Lagunas,-5.2269,-75.6753,81.86,57,98,6.08,PE,1619798218
302,Lexington,37.9887,-84.4777,64.99,55,1,6.91,US,1619797949
303,Tungor,53.3808,142.9564,29.88,89,100,5.97,RU,1619798218
304,Makīnsk,52.6292,70.4169,47.43,46,42,7.34,KZ,1619798218
305,Quatre Cocos,-20.2078,57.7625,78.8,78,75,13.8,MU,1619798219
306,Ukiah,39.1502,-123.2078,57.0,58,1,3.38,US,1619798219
307,Fairbanks,64.8378,-147.7164,30.2,86,90,9.22,US,1619798123
308,Kantilo,20.35,85.1833,82.4,89,40,12.66,IN,1619798220
309,Chaman,30.9236,66.4512,76.87,27,86,9.73,PK,1619798220
310,Pedernales,18.0384,-71.744,82.99,61,4,9.06,DO,1619798220
311,Balkanabat,39.5108,54.3671,78.24,39,73,9.64,TM,1619798221
312,Bardsīr,29.9227,56.5743,62.6,55,90,6.91,IR,1619798221
313,Khasan,42.4308,130.6434,40.71,86,72,4.72,RU,1619798222
314,Mossamedes,-15.1961,12.1522,78.8,73,20,17.27,AO,1619798222
315,Ilulissat,69.2167,-51.1,39.2,48,20,3.44,GL,1619798223
316,Wucheng,29.6008,118.175,68.32,81,3,4.7,CN,1619797942
317,Martapura,-3.4167,114.85,78.8,94,97,2.3,ID,1619798223
318,East London,-33.0153,27.9116,62.6,82,20,8.05,ZA,1619798224
319,Talnakh,69.4865,88.3972,19.4,84,25,3.38,RU,1619798224
320,Lao Cai,22.4833,103.95,74.1,95,27,0.94,VN,1619798224
321,Dukat,62.55,155.55,24.31,91,100,4.27,RU,1619798225
322,Ozinki,51.1786,49.6769,53.92,47,96,4.38,RU,1619798225
323,Capinzal,-27.3436,-51.6119,74.1,39,16,5.21,BR,1619798226
324,Geraldton,-28.7667,114.6,59.0,63,75,12.66,AU,1619798226
325,Santa Isabel Rio Negro,-0.4139,-65.0192,82.78,68,93,3.76,BR,1619798226
326,Bandarbeyla,9.4942,50.8122,84.7,73,29,10.11,SO,1619798227
327,Nuuk,64.1835,-51.7216,30.2,100,75,17.27,GL,1619798227
328,Chapada dos Guimarães,-15.4606,-55.7497,80.6,54,0,4.61,BR,1619798228
329,Inuvik,68.3499,-133.7218,19.4,86,100,5.75,CA,1619798228
330,Rome,43.2128,-75.4557,46.4,81,90,23.02,US,1619798228
331,Shakawe,-18.3667,21.85,80.17,38,93,6.82,BW,1619798229
332,Shambu,9.5667,37.1,55.62,82,99,4.65,ET,1619798229
333,Touros,-5.1989,-35.4608,80.6,78,75,12.66,BR,1619798230
334,Dicabisagan,17.0818,122.4157,75.43,80,57,2.46,PH,1619798230
335,Corning,42.1428,-77.0547,53.6,66,90,17.27,US,1619798231
336,Uauá,-9.8414,-39.4817,88.48,38,46,18.41,BR,1619798231
337,Lamu,-2.2717,40.902,81.54,78,79,12.41,KE,1619798232
338,Wasilla,61.5814,-149.4394,33.8,100,90,3.44,US,1619798232
339,Anloga,5.7947,0.8973,89.6,66,20,13.8,GH,1619798232
340,Misratah,32.3754,15.0925,82.81,44,99,13.24,LY,1619798233
341,Kiryat Gat,31.61,34.7642,82.0,44,1,10.69,IL,1619798040
342,Souillac,-20.5167,57.5167,78.8,78,75,13.8,MU,1619798233
343,Narsaq,60.9167,-46.05,57.2,26,20,24.16,GL,1619798234
344,Numan,9.4667,12.0333,104.72,18,95,2.28,NG,1619798235
345,Lugovskoy,56.9585,64.529,42.8,31,20,13.42,RU,1619798235
346,Dzaoudzi,-12.7887,45.2699,82.4,78,20,9.22,YT,1619798236
347,Sovetskiy,61.3614,63.5842,31.48,92,100,3.98,RU,1619798236
348,Lethem,3.3803,-59.7968,80.37,71,73,7.23,GY,1619798237
349,Gucheng,35.9115,111.3192,60.64,20,39,3.13,CN,1619798237
350,Hāflong,25.1833,93.0333,76.1,45,11,1.21,IN,1619798238
351,Zhigansk,66.7697,123.3711,31.82,84,100,0.92,RU,1619798239
352,Riverdale,33.5726,-84.4133,71.01,56,75,14.97,US,1619798240
353,Rūdbār,30.15,62.6,85.42,26,74,14.36,AF,1619798240
354,Zharkent,44.1628,80.0,76.35,23,13,2.04,KZ,1619798241
355,Nome,64.5011,-165.4064,15.8,73,1,5.95,US,1619798242
356,Saint-Pierre,-21.3393,55.4781,77.0,83,0,4.61,RE,1619798242
357,Winnemucca,40.973,-117.7357,55.4,38,1,4.61,US,1619798243
